game_date,season_year,team_name,opp_team_name,venue,period,clock_seconds,situation_type,goals_for,goals_against,player_name,event,event_successful,x_coord,y_coord,event_type,player_name_2,x_coord_2,y_coord_2,event_detail_1,event_detail_2,event_detail_3,frame_id_1,frame_id_2,game_seconds,away_player_1,away_position_1,away_x_1,away_y_1,away_player_2,away_position_2,away_x_2,away_y_2,away_player_3,away_position_3,away_x_3,away_y_3,away_player_4,away_position_4,away_x_4,away_y_4,away_player_5,away_position_5,away_x_5,away_y_5,home_player_1,home_position_1,home_x_1,home_y_1,home_player_2,home_position_2,home_x_2,home_y_2,home_player_3,home_position_3,home_x_3,home_y_3,home_player_4,home_position_4,home_x_4,home_y_4,home_player_5,home_position_5,home_x_5,home_y_5,away_player_6,away_position_6,away_x_6,away_y_6,home_player_6,home_position_6,home_x_6,home_y_6,away_player_7,away_position_7,away_x_7,away_y_7,home_player_7,home_position_7,home_x_7,home_y_7,away_player_10,away_position_10,away_x_10,away_y_10,away_x_8,away_y_8,away_player_9,away_position_9,away_x_9,away_y_9,home_player_10,home_position_10,home_x_10,home_y_10,home_x_8,home_y_8,home_player_9,home_position_9,home_x_9,home_y_9,away_player_8,away_position_8,home_player_8,home_position_8
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,362,5 on 4,0,0,Rebecca Johnston,Puck Recovery,t,169,34,,,,,,,,734.0,,838,Rebecca Johnston,Center,168.44160801333334,35.777999165,Erin Ambrose,Defense,139.772708825,25.49333509,Sarah Fillier,Center,186.9513841875,23.42325741125,Brianne Jenner,Center,177.85542208666666,40.272727454,,,,,Megan Keller,Defense,177.5047302033333,42.40564402566667,Amanda Kessel,Center,151.15356877000002,29.666335835666665,Maddie Rooney,Goalie,185.02088546666667,41.25488904433333,Lee Stecklein,Defense,179.40889619666666,35.946587754666666,Kendall Coyne Schofield,Center,162.48373518125,47.84432598625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,360,5 on 4,0,0,Rebecca Johnston,Play,t,161,12,Direct,Erin Ambrose,133.0,35.0,,,,804.0,830.0,840,,,197.94618425714287,23.498893928571427,Rebecca Johnston,Center,166.43996904333332,15.166787027333333,Brianne Jenner,Center,177.2107294333333,37.03199390033333,,,,,,,,,Kendall Coyne Schofield,Center,168.51127551,47.753423076,Maddie Rooney,Goalie,186.58969687666666,38.880730338333336,Lee Stecklein,Defense,179.37383665666667,30.164418813666668,Amanda Kessel,Center,161.22672473666668,30.978366370666667,Megan Keller,Defense,180.41630228,41.599858641333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,359,5 on 4,0,0,Erin Ambrose,Play,t,133,35,Direct,Rebecca Johnston,136.0,23.0,,,,831.0,856.0,841,Rebecca Johnston,Center,151.29022908333334,15.395833601666668,Brianne Jenner,Center,173.47787072333333,35.60737760366667,Marie-Philip Poulin,Center,154.9249454357143,67.03720887964286,Erin Ambrose,Defense,133.4971583047619,37.9079703352381,,,,,Kendall Coyne Schofield,Center,169.34086225000001,50.788090784333335,Maddie Rooney,Goalie,184.83201318333334,40.70739780233334,Lee Stecklein,Defense,172.88829343666666,31.811370682666666,Megan Keller,Defense,178.50971847333332,42.812425413,Amanda Kessel,Center,155.32987474,35.34311207533334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,358,5 on 4,0,0,Rebecca Johnston,Play,t,136,23,Direct,Erin Ambrose,131.0,48.0,,,,858.0,882.0,842,Erin Ambrose,Defense,130.51633422666666,44.964084457,Marie-Philip Poulin,Center,140.5647924666667,70.26863413,Brianne Jenner,Center,170.8398573,36.667618739666665,Rebecca Johnston,Center,140.08825784666666,23.847656728,,,,,Maddie Rooney,Goalie,183.83882372083335,41.657785958750004,Kendall Coyne Schofield,Center,166.87687133,52.58454039,Megan Keller,Defense,179.31396008666667,45.563186271,Amanda Kessel,Center,149.75881823333333,39.755066951,Lee Stecklein,Defense,168.74615062666666,33.712031464666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,355,5 on 4,0,0,Erin Ambrose,Play,t,130,34,Direct,Marie-Philip Poulin,140.0,63.0,,,,954.0,975.0,845,Marie-Philip Poulin,Center,133.60334625000002,60.622661969999996,Sarah Fillier,Center,189.22717573,59.52986974933333,Brianne Jenner,Center,178.17333007333335,44.13456695166667,Rebecca Johnston,Center,146.2018629,24.07114636,Erin Ambrose,Defense,126.09614238,34.78342550566666,Megan Keller,Defense,180.87402189666668,47.916147683,Lee Stecklein,Defense,169.15995191333334,35.321511291,Kendall Coyne Schofield,Center,161.17316705333332,48.374808806333334,Amanda Kessel,Center,144.60973395666667,34.88162681366667,Maddie Rooney,Goalie,184.34102091764703,41.53764711235294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,353,5 on 4,0,0,Marie-Philip Poulin,Play,t,160,63,Direct,Sarah Fillier,190.0,59.0,,,,1014.0,1024.0,847,Marie-Philip Poulin,Center,152.79043314999998,56.90695001466667,Rebecca Johnston,Center,163.21935613333335,25.445327789666667,Sarah Fillier,Center,190.58979976333333,56.944175844,Brianne Jenner,Center,180.39089591333334,43.489228708000006,Erin Ambrose,Defense,131.73426623999998,25.033791911999998,Amanda Kessel,Center,156.51192606333333,32.819415408333334,Megan Keller,Defense,171.27604380666665,50.81107433666667,Maddie Rooney,Goalie,185.49257939,43.463152498666666,Lee Stecklein,Defense,177.63313926666666,38.079047114666665,Kendall Coyne Schofield,Center,165.87370133333334,51.07802209733333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,352,5 on 4,0,0,Sarah Fillier,Play,t,190,59,Direct,Brianne Jenner,181.0,45.0,,,,1028.0,1041.0,848,Sarah Fillier,Center,193.52007786666667,54.49927712666667,Brianne Jenner,Center,178.88211843666667,45.11970616233334,Marie-Philip Poulin,Center,164.25720046,61.316119912666665,Rebecca Johnston,Center,172.73107087000002,32.30735118366667,,,,,Lee Stecklein,Defense,180.20700803333332,40.47272063333333,Kendall Coyne Schofield,Center,170.26681525,57.15182736933333,Amanda Kessel,Center,169.02662444,37.01447797866667,Maddie Rooney,Goalie,186.79593129000003,43.30975618666666,Megan Keller,Defense,176.41810098666667,56.016505904666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,352,5 on 4,0,0,Brianne Jenner,Shot,t,181,45,Snapshot,,,,On Net,f,t,1041.0,,848,Sarah Fillier,Center,193.52007786666667,54.49927712666667,Brianne Jenner,Center,178.88211843666667,45.11970616233334,Marie-Philip Poulin,Center,164.25720046,61.316119912666665,Rebecca Johnston,Center,172.73107087000002,32.30735118366667,,,,,Lee Stecklein,Defense,180.20700803333332,40.47272063333333,Kendall Coyne Schofield,Center,170.26681525,57.15182736933333,Amanda Kessel,Center,169.02662444,37.01447797866667,Maddie Rooney,Goalie,186.79593129000003,43.30975618666666,Megan Keller,Defense,176.41810098666667,56.016505904666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,216,5 on 4,0,1,Abby Roque,Faceoff Win,t,31,65,Backhand,Blayre Turnbull,,,,,,24.0,,984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,215,5 on 4,0,1,Alex Carpenter,Puck Recovery,t,40,67,,,,,,,,64.0,,985,Emily Clark,Center,29.9741188835,45.7786915975,Jocelyne Larocque,Defense,28.954350868,53.776025903000004,Ann-Renee Desbiens,Goalie,16.473089379999998,48.471356815,Blayre Turnbull,Center,30.518113374000002,63.32343579250001,Renata Fast,Defense,31.800539803,68.938974417,Alex Carpenter,Left Wing,35.614158987,69.551295783,Amanda Kessel,Center,35.916462798,56.016639878,Abby Roque,Center,32.3811168875,63.091371487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,213,5 on 4,0,1,Alex Carpenter,Play,t,58,74,Direct,Kelly Pannek,64.0,80.0,,,,96.0,108.0,987,Emily Clark,Center,49.28128594066666,43.462910413,Jocelyne Larocque,Defense,34.63096933133333,47.810340062,Blayre Turnbull,Center,33.573075749333334,57.95700933766667,Renata Fast,Defense,51.56386059666667,58.894752364333335,,,,,Alex Carpenter,Left Wing,52.964287741666666,62.38043375833333,Amanda Kessel,Center,49.081178625999996,50.022621971333336,Abby Roque,Center,28.526600507,62.26316369733333,Kelly Pannek,Center,63.592995736333336,71.44791513466666,Cayla Barnes,Defense,72.17603418,39.753734826666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,212,5 on 4,0,1,Kelly Pannek,Play,t,64,75,Direct,Abby Roque,12.0,55.0,,,,141.0,165.0,988,Emily Clark,Center,53.98851275933334,41.133123678,Jocelyne Larocque,Defense,33.98815874833333,43.74837294766667,Blayre Turnbull,Center,44.64160362533333,60.74862981666667,Renata Fast,Defense,48.43426313766667,67.07559660766667,,,,,Alex Carpenter,Left Wing,53.07914880966667,69.56339752566667,Amanda Kessel,Center,50.301495958000004,39.35898503733333,Abby Roque,Center,21.620155795666665,64.17431886633334,Kelly Pannek,Center,68.856398187,70.84692685733333,Cayla Barnes,Defense,70.65808150466667,35.442682041333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,206,5 on 4,0,1,Abby Roque,Play,t,20,19,Direct,Amanda Kessel,5.0,29.0,,,,297.0,314.0,994,Emily Clark,Center,32.02084606566667,29.101558135,Jocelyne Larocque,Defense,18.739645422333336,44.620450288,Ann-Renee Desbiens,Goalie,11.991547957666667,39.96378633833333,Blayre Turnbull,Center,29.279533939,36.21372604466667,Renata Fast,Defense,18.25010936333333,31.269178027666666,Amanda Kessel,Center,1.9797637459666668,32.754787893666666,Abby Roque,Center,20.68775829433333,18.372105563666665,Alex Carpenter,Left Wing,34.700841284666666,29.191636529333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,205,5 on 4,0,1,Amanda Kessel,Play,t,7,21,Direct,Abby Roque,37.0,12.0,,,,349.0,370.0,995,Jocelyne Larocque,Defense,19.316117442333333,47.61776436,Ann-Renee Desbiens,Goalie,12.085697163666667,39.935102693333334,Blayre Turnbull,Center,28.370076444,40.419982112999996,Renata Fast,Defense,18.295556895666667,30.282655777333332,Emily Clark,Center,36.358274261333335,30.61218444333333,Amanda Kessel,Center,3.1092920358000002,31.256045528,Abby Roque,Center,32.69632224266667,17.093564050999998,Alex Carpenter,Left Wing,37.051142286,28.208972825333333,Kelly Pannek,Center,26.852847874166667,60.141124520000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,202,5 on 4,0,1,Abby Roque,Play,t,44,14,Direct,Amanda Kessel,8.0,22.0,,,,422.0,444.0,998,Jocelyne Larocque,Defense,20.974205356333336,43.262949542,Ann-Renee Desbiens,Goalie,14.477197539333334,39.29153565233333,Blayre Turnbull,Center,35.445537777333335,37.524538151,Renata Fast,Defense,25.529651439333335,27.735283642666666,Emily Clark,Center,48.820021761,21.83883783,Amanda Kessel,Center,9.293175294633333,29.54849399633333,Abby Roque,Center,46.48774947133334,13.011740959,Alex Carpenter,Left Wing,31.403651520999997,27.40034698033333,Kelly Pannek,Center,30.504809592,67.97404096566667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,199,5 on 4,0,1,Amanda Kessel,Play,t,37,9,Direct,Cayla Barnes,70.0,30.0,,,,510.0,536.0,1001,Jocelyne Larocque,Defense,22.262901549,45.05814052666666,Ann-Renee Desbiens,Goalie,12.849069045333332,39.92506756533333,Blayre Turnbull,Center,28.806796463333335,36.151289143666666,Renata Fast,Defense,27.491341268666666,22.088475146333334,Emily Clark,Center,45.06337086533333,32.18274258766667,Amanda Kessel,Center,32.28800406566667,11.550860561333334,Alex Carpenter,Left Wing,33.002995479333336,29.75238934033333,Abby Roque,Center,32.19395145566667,9.190717111433335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,196,5 on 4,0,1,Cayla Barnes,Shot,f,66,64,Snapshot,,,,Blocked,t,f,614.0,,1004,Emily Clark,Center,65.39992703533333,45.93885402533333,Renata Fast,Defense,32.13752774466666,31.409768993333333,Blayre Turnbull,Center,47.14729058066666,43.28483898733334,Jocelyne Larocque,Defense,27.906252537,50.588747517,Ann-Renee Desbiens,Goalie,17.243416583333335,42.64233794666667,Amanda Kessel,Center,55.61942906066667,22.539332420666664,Alex Carpenter,Left Wing,36.45049837533334,40.66613207666667,Cayla Barnes,Defense,73.32747885233333,49.70196505966667,Kelly Pannek,Center,47.833339164,72.128690697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,194,4 on 5,1,0,Blayre Turnbull,Puck Recovery,t,32,46,,,,,,,,668.0,,1006,Renata Fast,Defense,27.842186742333336,39.062184024333334,Blayre Turnbull,Center,44.007334420666666,43.814022636666664,Ann-Renee Desbiens,Goalie,19.779680769666665,42.756565,Jocelyne Larocque,Defense,34.573776685666665,45.125698327,,,,,Amanda Kessel,Center,50.685534028,23.49920068466667,Kelly Pannek,Center,37.70877810166667,65.65556800533334,Abby Roque,Center,21.805021772333337,37.67233147466666,Alex Carpenter,Left Wing,31.410908655666667,45.798017793666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,194,4 on 5,1,0,Blayre Turnbull,Dump In/Out,f,37,40,,,,,,,,683.0,,1006,Renata Fast,Defense,27.842186742333336,39.062184024333334,Blayre Turnbull,Center,44.007334420666666,43.814022636666664,Ann-Renee Desbiens,Goalie,19.779680769666665,42.756565,Jocelyne Larocque,Defense,34.573776685666665,45.125698327,,,,,Amanda Kessel,Center,50.685534028,23.49920068466667,Kelly Pannek,Center,37.70877810166667,65.65556800533334,Abby Roque,Center,21.805021772333337,37.67233147466666,Alex Carpenter,Left Wing,31.410908655666667,45.798017793666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,192,5 on 4,0,1,Cayla Barnes,Puck Recovery,t,93,60,,,,,,,,243.0,,1008,Renata Fast,Defense,21.350619348000002,38.278472,Blayre Turnbull,Center,50.887633161000004,34.93387402033333,Ann-Renee Desbiens,Goalie,15.380270372000002,41.47270918,Jocelyne Larocque,Defense,40.43205161592592,42.48429962148148,Emily Clark,Center,61.91765354666666,36.65875398633333,Amanda Kessel,Center,41.822313556666664,31.985324825000003,Kelly Pannek,Center,56.257172243666666,54.44599231266667,Abby Roque,Center,21.403475630000003,36.02237156666667,Alex Carpenter,Left Wing,31.181900816000002,45.942318706,Cayla Barnes,Defense,92.70939297846154,49.695322666923076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,191,5 on 4,0,1,Cayla Barnes,Play,f,109,64,Direct,Amanda Kessel,77.0,18.0,,,,774.0,,1009,Blayre Turnbull,Center,65.417803205,38.60055445966667,Emily Clark,Center,84.69887125166666,42.82284492666667,,,,,,,,,,,,,Kelly Pannek,Center,72.376048181,60.62931270166667,Cayla Barnes,Defense,101.45186403066667,51.412419263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,190,4 on 5,1,0,Blayre Turnbull,Puck Recovery,t,85,53,,,,,,,,804.0,,1010,Blayre Turnbull,Center,69.83092094133333,46.562547567,Emily Clark,Center,98.64538864466667,54.718462023,Jocelyne Larocque,Defense,65.07279648833334,55.48868497666667,,,,,,,,,Kelly Pannek,Center,77.45981352866667,69.27331262666667,Cayla Barnes,Defense,108.51736600333334,55.842541698333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,188,5 on 4,0,1,Blayre Turnbull,Zone Entry,f,124,48,Carried,Cayla Barnes,,,,,,859.0,,1012,Blayre Turnbull,Center,104.757666634,46.290118333,Emily Clark,Center,116.24043307666666,37.14173240266667,Jocelyne Larocque,Defense,93.680609283,53.75010035533333,,,,,,,,,Kelly Pannek,Center,106.8776596,60.574118709333334,Alex Carpenter,Left Wing,100.45670966200001,43.745202234,Cayla Barnes,Defense,131.98790508333335,50.824436931,Amanda Kessel,Center,104.0861913975,19.701097487857144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,184,5 on 4,0,1,Abby Roque,Puck Recovery,t,112,68,,,,,,,,969.0,,1016,Jocelyne Larocque,Defense,136.43421514666667,64.31680954933333,Blayre Turnbull,Center,137.78287701333332,70.93003881566666,,,,,,,,,,,,,Alex Carpenter,Left Wing,157.28006897727275,55.69953170363636,Cayla Barnes,Defense,168.82064609166667,60.9911268875,Amanda Kessel,Center,129.98032871333334,53.74822608,Abby Roque,Center,117.65714342666666,58.21370189733333,Kelly Pannek,Center,137.62429621666666,68.31640620966667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,182,4 on 5,1,0,Abby Roque,Zone Entry,t,75,64,Carried,Jocelyne Larocque,,,,,,1028.0,,1018,Blayre Turnbull,Center,112.60822717699999,59.412918713333326,Jocelyne Larocque,Defense,110.45421623099999,52.60852861866667,Marie-Philip Poulin,Center,78.33170396199999,60.847469843333336,Ashton Bell,Defense,70.15992159869566,42.64670945478261,,,,,Abby Roque,Center,92.156486734,60.039667088,Amanda Kessel,Center,103.68387926666666,39.896893515,Kelly Pannek,Center,117.69567579333334,61.57088183566667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,182,5 on 4,0,1,Abby Roque,Play,t,71,62,Direct,Amanda Kessel,66.0,33.0,,,,1033.0,1060.0,1018,Blayre Turnbull,Center,112.60822717699999,59.412918713333326,Jocelyne Larocque,Defense,110.45421623099999,52.60852861866667,Marie-Philip Poulin,Center,78.33170396199999,60.847469843333336,Ashton Bell,Defense,70.15992159869566,42.64670945478261,,,,,Abby Roque,Center,92.156486734,60.039667088,Amanda Kessel,Center,103.68387926666666,39.896893515,Kelly Pannek,Center,117.69567579333334,61.57088183566667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
