game_date,season_year,team_name,opp_team_name,venue,period,clock_seconds,situation_type,goals_for,goals_against,player_name,event,high_danger_unblocked,high_danger_within_four,event_successful,x_coord,y_coord,distance_to_attacking_net,event_type,player_name_2,x_coord_2,y_coord_2,distance_to_net_attacking_net_2,event_detail_1,event_detail_2,event_detail_3,game_seconds,away_player_1,away_position_1,away_x_1,away_y_1,away_player_2,away_position_2,away_x_2,away_y_2,away_player_3,away_position_3,away_x_3,away_y_3,away_player_4,away_position_4,away_x_4,away_y_4,away_player_5,away_position_5,away_x_5,away_y_5,home_player_1,home_position_1,home_x_1,home_y_1,home_player_2,home_position_2,home_x_2,home_y_2,home_player_3,home_position_3,home_x_3,home_y_3,home_player_4,home_position_4,home_x_4,home_y_4,home_player_5,home_position_5,home_x_5,home_y_5,away_player_6,away_position_6,away_x_6,away_y_6,home_player_6,home_position_6,home_x_6,home_y_6,away_player_7,away_position_7,away_x_7,away_y_7,home_player_7,home_position_7,home_x_7,home_y_7,away_player_10,away_position_10,away_x_10,away_y_10,away_player_8,away_position_8,away_x_8,away_y_8,away_player_9,away_position_9,away_x_9,away_y_9,home_player_10,home_position_10,home_x_10,home_y_10,home_player_8,home_position_8,home_x_8,home_y_8,home_player_9,home_position_9,home_x_9,home_y_9
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,358,5 on 4,0,0,Rebecca Johnston,Play,,1,t,136,62,56.47344509,Direct,Erin Ambrose,131,37,58.26019224,,,,842,Erin Ambrose,Defense,130.4773321,45.22383948,Rebecca Johnston,Center,139.8915233,24.19494,Marie-Philip Poulin,Center,140.0661124,70.26797783,Brianne Jenner,Center,170.7565679,36.70484676,,,,,Amanda Kessel,Center,149.6668719,39.87800122,Lee Stecklein,Defense,168.5131868,33.7377716,Maddie Rooney,Goalie,183.8277468,41.68904881,Megan Keller,Defense,179.4097873,45.61504694,Kendall Coyne Schofield,Center,166.7323177,52.59453435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,355,5 on 4,0,0,Erin Ambrose,Play,,1,t,130,51,59.60914359,Direct,Marie-Philip Poulin,140,22,53.11544032,,,,845,Rebecca Johnston,Center,146.4265327,23.86290573,Sarah Fillier,Center,189.1332164,59.73620902,Brianne Jenner,Center,178.3779737,44.25255128,Erin Ambrose,Defense,126.2796698,34.4256137,Marie-Philip Poulin,Center,133.8357823,60.57982733,Kendall Coyne Schofield,Center,161.1871517,48.24290242,Amanda Kessel,Center,144.6540964,34.61245028,Megan Keller,Defense,180.7300529,47.94513212,Lee Stecklein,Defense,169.2332789,35.27240335,Maddie Rooney,Goalie,184.3298911,41.50617552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,353,5 on 4,0,0,Marie-Philip Poulin,Play,,1,t,160,22,35.51408171,Direct,Sarah Fillier,190,26,16.53027525,,,,847,Sarah Fillier,Center,190.5926614,56.75716499,Brianne Jenner,Center,180.3119082,43.47525115,Erin Ambrose,Defense,131.7800104,25.0728277,Marie-Philip Poulin,Center,153.1851975,56.96595295,Rebecca Johnston,Center,163.4830399,25.70574154,Kendall Coyne Schofield,Center,166.0020242,51.32263403,Maddie Rooney,Goalie,185.5433686,43.44052156,Megan Keller,Defense,171.2552209,50.97456607,Lee Stecklein,Defense,177.6358083,38.03560186,Amanda Kessel,Center,156.8362026,32.97422709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,352,5 on 4,0,0,Sarah Fillier,Play,,1,t,190,26,16.53027525,Direct,Brianne Jenner,181,40,8.381527307,,,,848,Rebecca Johnston,Center,173.0150809,32.46441637,Brianne Jenner,Center,178.7926827,45.19031537,Sarah Fillier,Center,193.5948,54.45501595,Marie-Philip Poulin,Center,164.5711185,61.49679709,,,,,Megan Keller,Defense,176.6679341,56.0587477,Amanda Kessel,Center,169.441117,37.03588886,Kendall Coyne Schofield,Center,170.2712981,57.2628449,Lee Stecklein,Defense,180.3333032,40.71323106,Maddie Rooney,Goalie,186.7807803,43.32248275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - Canada,Olympic (Women) - United States,away,1,352,5 on 4,0,0,Brianne Jenner,Shot,1,1,t,181,40,8.381527307,Snapshot,,,,,On Net,f,t,848,Rebecca Johnston,Center,173.0150809,32.46441637,Brianne Jenner,Center,178.7926827,45.19031537,Sarah Fillier,Center,193.5948,54.45501595,Marie-Philip Poulin,Center,164.5711185,61.49679709,,,,,Megan Keller,Defense,176.6679341,56.0587477,Amanda Kessel,Center,169.441117,37.03588886,Kendall Coyne Schofield,Center,170.2712981,57.2628449,Lee Stecklein,Defense,180.3333032,40.71323106,Maddie Rooney,Goalie,186.7807803,43.32248275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,215,5 on 4,0,1,Alex Carpenter,Puck Recovery,,0,t,40,67,37.96379855,,,,,,,,,985,Emily Clark,Center,29.97411888,45.7786916,Jocelyne Larocque,Defense,28.95435087,53.7760259,Ann-Renee Desbiens,Goalie,16.47308938,48.47135682,Blayre Turnbull,Center,30.51811337,63.32343579,Renata Fast,Defense,31.8005398,68.93897442,Alex Carpenter,Left Wing,35.61415899,69.55129578,Amanda Kessel,Center,35.9164628,56.01663988,Abby Roque,Center,32.38111689,63.09137149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,213,5 on 4,0,1,Alex Carpenter,Play,,0,t,58,74,56.57958996,Direct,Kelly Pannek,64,80,64.92495668,,,,987,Emily Clark,Center,49.28128594,43.46291041,Jocelyne Larocque,Defense,34.63096933,47.81034006,Blayre Turnbull,Center,33.57307575,57.95700934,Renata Fast,Defense,51.5638606,58.89475236,,,,,Alex Carpenter,Left Wing,52.96428774,62.38043376,Amanda Kessel,Center,49.08117863,50.02262197,Abby Roque,Center,28.52660051,62.2631637,Kelly Pannek,Center,63.59299574,71.44791513,Cayla Barnes,Defense,72.17603418,39.75373483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,212,5 on 4,0,1,Kelly Pannek,Play,,0,t,64,75,62.17113478,Direct,Abby Roque,12,55,12.5399362,,,,988,Emily Clark,Center,53.98851276,41.13312368,Jocelyne Larocque,Defense,33.98815875,43.74837295,Blayre Turnbull,Center,44.64160363,60.74862982,Renata Fast,Defense,48.43426314,67.07559661,,,,,Alex Carpenter,Left Wing,53.07914881,69.56339753,Amanda Kessel,Center,50.30149596,39.35898504,Abby Roque,Center,21.6201558,64.17431887,Kelly Pannek,Center,68.85639819,70.84692686,Cayla Barnes,Defense,70.6580815,35.44268204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,206,5 on 4,0,1,Abby Roque,Play,,0,t,20,19,25.16445906,Direct,Amanda Kessel,5,29,14.7732867,,,,994,Emily Clark,Center,32.02084607,29.10155814,Jocelyne Larocque,Defense,18.73964542,44.62045029,Ann-Renee Desbiens,Goalie,11.99154796,39.96378634,Blayre Turnbull,Center,29.27953394,36.21372604,Renata Fast,Defense,18.25010936,31.26917803,Amanda Kessel,Center,1.979763746,32.75478789,Abby Roque,Center,20.68775829,18.37210556,Alex Carpenter,Left Wing,34.70084128,29.19163653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,205,5 on 4,0,1,Amanda Kessel,Play,,0,t,7,21,21.86892773,Direct,Abby Roque,37,12,40.07804885,,,,995,Jocelyne Larocque,Defense,19.31611744,47.61776436,Ann-Renee Desbiens,Goalie,12.08569716,39.93510269,Blayre Turnbull,Center,28.37007644,40.41998211,Renata Fast,Defense,18.2955569,30.28265578,Emily Clark,Center,36.35827426,30.61218444,Amanda Kessel,Center,3.109292036,31.25604553,Abby Roque,Center,32.69632224,17.09356405,Alex Carpenter,Left Wing,37.05114229,28.20897283,Kelly Pannek,Center,26.85284787,60.14112452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,202,5 on 4,0,1,Abby Roque,Play,,0,t,44,14,43.60332556,Direct,Amanda Kessel,8,22,20.71834936,,,,998,Jocelyne Larocque,Defense,20.97420536,43.26294954,Ann-Renee Desbiens,Goalie,14.47719754,39.29153565,Blayre Turnbull,Center,35.44553778,37.52453815,Renata Fast,Defense,25.52965144,27.73528364,Emily Clark,Center,48.82002176,21.83883783,Amanda Kessel,Center,9.293175295,29.548494,Abby Roque,Center,46.48774947,13.01174096,Alex Carpenter,Left Wing,31.40365152,27.40034698,Kelly Pannek,Center,30.50480959,67.97404097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,199,5 on 4,0,1,Amanda Kessel,Play,,0,t,37,9,42.40577791,Direct,Cayla Barnes,70,30,60.30961781,,,,1001,Jocelyne Larocque,Defense,22.26290155,45.05814053,Ann-Renee Desbiens,Goalie,12.84906905,39.92506757,Blayre Turnbull,Center,28.80679646,36.15128914,Renata Fast,Defense,27.49134127,22.08847515,Emily Clark,Center,45.06337087,32.18274259,Amanda Kessel,Center,32.28800407,11.55086056,Alex Carpenter,Left Wing,33.00299548,29.75238934,Abby Roque,Center,32.19395146,9.190717111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,196,5 on 4,0,1,Cayla Barnes,Shot,0,0,f,66,64,59.05294235,Snapshot,,,,,Blocked,t,f,1004,Emily Clark,Center,65.39992704,45.93885403,Renata Fast,Defense,32.13752774,31.40976899,Blayre Turnbull,Center,47.14729058,43.28483899,Jocelyne Larocque,Defense,27.90625254,50.58874752,Ann-Renee Desbiens,Goalie,17.24341658,42.64233795,Amanda Kessel,Center,55.61942906,22.53933242,Alex Carpenter,Left Wing,36.45049838,40.66613208,Cayla Barnes,Defense,73.32747885,49.70196506,Kelly Pannek,Center,47.83333916,72.1286907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,192,5 on 4,0,1,Cayla Barnes,Puck Recovery,,0,t,93,60,83.8465861,,,,,,,,,1008,Renata Fast,Defense,21.35061935,38.278472,Blayre Turnbull,Center,50.88763316,34.93387402,Ann-Renee Desbiens,Goalie,15.38027037,41.47270918,Jocelyne Larocque,Defense,40.43205162,42.48429962,Emily Clark,Center,61.91765355,36.65875399,Amanda Kessel,Center,41.82231356,31.98532483,Kelly Pannek,Center,56.25717224,54.44599231,Abby Roque,Center,21.40347563,36.02237157,Alex Carpenter,Left Wing,31.18190082,45.94231871,Cayla Barnes,Defense,92.70939298,49.69532267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,191,5 on 4,0,1,Cayla Barnes,Play,,0,f,109,64,100.3307032,Direct,Amanda Kessel,77,18,,,,,1009,Blayre Turnbull,Center,65.41780321,38.60055446,Emily Clark,Center,84.69887125,42.82284493,,,,,,,,,,,,,Kelly Pannek,Center,72.37604818,60.6293127,Cayla Barnes,Defense,101.451864,51.41241926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,184,5 on 4,0,1,Abby Roque,Puck Recovery,,0,t,112,68,104.1693333,,,,,,,,,1016,Jocelyne Larocque,Defense,136.4342151,64.31680955,Blayre Turnbull,Center,137.782877,70.93003882,,,,,,,,,,,,,Alex Carpenter,Left Wing,157.280069,55.6995317,Cayla Barnes,Defense,168.8206461,60.99112689,Amanda Kessel,Center,129.9803287,53.74822608,Abby Roque,Center,117.6571434,58.2137019,Kelly Pannek,Center,137.6242962,68.31640621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,182,4 on 5,1,0,Abby Roque,Zone Entry,,0,t,75,64,67.51481319,Carried,Jocelyne Larocque,,,,,,,1018,Blayre Turnbull,Center,112.6082272,59.41291871,Jocelyne Larocque,Defense,110.4542162,52.60852862,Marie-Philip Poulin,Center,78.33170396,60.84746984,Ashton Bell,Defense,70.1599216,42.64670945,,,,,Abby Roque,Center,92.15648673,60.03966709,Amanda Kessel,Center,103.6838793,39.89689352,Kelly Pannek,Center,117.6956758,61.57088184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,182,5 on 4,0,1,Abby Roque,Play,,0,t,71,62,63.08922253,Direct,Amanda Kessel,66,33,55.81442466,,,,1018,Blayre Turnbull,Center,112.6082272,59.41291871,Jocelyne Larocque,Defense,110.4542162,52.60852862,Marie-Philip Poulin,Center,78.33170396,60.84746984,Ashton Bell,Defense,70.1599216,42.64670945,,,,,Abby Roque,Center,92.15648673,60.03966709,Amanda Kessel,Center,103.6838793,39.89689352,Kelly Pannek,Center,117.6956758,61.57088184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,180,5 on 4,0,1,Amanda Kessel,Play,,0,t,46,17,43.30415684,Direct,Alex Carpenter,53,37,42.35858827,,,,1020,Blayre Turnbull,Center,56.73334517,57.92160897,Jocelyne Larocque,Defense,54.96456071,47.37522415,Marie-Philip Poulin,Center,39.93395444,44.18176823,Ashton Bell,Defense,41.36903275,33.57258562,Ann-Renee Desbiens,Goalie,14.50272516,39.61205205,Abby Roque,Center,39.00455764,41.48152015,Amanda Kessel,Center,53.92253662,23.07879136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,177,5 on 4,0,1,Alex Carpenter,Puck Recovery,,0,t,57,3,60.63208721,,,,,,,,,1023,Blayre Turnbull,Center,51.65402009,17.66175951,Jocelyne Larocque,Defense,27.73417989,39.39414839,Marie-Philip Poulin,Center,28.79856094,31.53661193,Ashton Bell,Defense,22.88776032,22.91810122,Ann-Renee Desbiens,Goalie,13.23586359,39.35450452,Abby Roque,Center,15.20848948,31.80526767,Amanda Kessel,Center,31.88247701,10.8133948,Alex Carpenter,Left Wing,54.41344811,15.08592993,Kelly Pannek,Center,44.61600154,46.77999583,Cayla Barnes,Defense,78.21936516,17.33820331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,177,5 on 4,0,1,Alex Carpenter,Play,,0,t,57,3,60.63208721,Indirect,Amanda Kessel,44,5,49.95247742,,,,1023,Blayre Turnbull,Center,51.65402009,17.66175951,Jocelyne Larocque,Defense,27.73417989,39.39414839,Marie-Philip Poulin,Center,28.79856094,31.53661193,Ashton Bell,Defense,22.88776032,22.91810122,Ann-Renee Desbiens,Goalie,13.23586359,39.35450452,Abby Roque,Center,15.20848948,31.80526767,Amanda Kessel,Center,31.88247701,10.8133948,Alex Carpenter,Left Wing,54.41344811,15.08592993,Kelly Pannek,Center,44.61600154,46.77999583,Cayla Barnes,Defense,78.21936516,17.33820331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,172,5 on 4,0,1,Amanda Kessel,Play,,0,t,31,4,43.38490521,Indirect,Cayla Barnes,62,13,58.91731494,,,,1028,Jocelyne Larocque,Defense,24.28233655,43.39793806,Marie-Philip Poulin,Center,34.62224993,40.41990382,Ashton Bell,Defense,30.4300453,28.28738426,Blayre Turnbull,Center,52.51123,20.02967154,Ann-Renee Desbiens,Goalie,14.85672141,39.09696464,Amanda Kessel,Center,52.29902539,13.54018929,Kelly Pannek,Center,40.87992843,64.69736697,Alex Carpenter,Left Wing,39.73409418,30.31971989,Abby Roque,Center,9.554400387,20.44258103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,169,5 on 4,0,1,Cayla Barnes,Play,,0,t,61,19,55.24717187,Direct,Kelly Pannek,49,57,40.67247226,,,,1031,Jocelyne Larocque,Defense,24.11046276,44.78197656,Ashton Bell,Defense,27.34135885,31.44586863,Blayre Turnbull,Center,29.86771264,25.21693653,Ann-Renee Desbiens,Goalie,14.24357437,39.8796494,Marie-Philip Poulin,Center,45.05543598,26.69253096,Kelly Pannek,Center,43.44566498,62.30394226,Alex Carpenter,Left Wing,32.05346426,30.26887726,Abby Roque,Center,24.66209696,16.76120091,Cayla Barnes,Defense,60.98116289,14.8618439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,167,5 on 4,0,1,Kelly Pannek,Shot,0,0,f,44,55,35.28809998,Snapshot,,,,,Blocked,t,f,1033,Jocelyne Larocque,Defense,33.18944245,49.4303345,Ashton Bell,Defense,21.7698451,39.09412309,Blayre Turnbull,Center,33.46149899,42.86294375,Ann-Renee Desbiens,Goalie,15.20552352,43.00338932,Marie-Philip Poulin,Center,47.48333191,38.24218075,Kelly Pannek,Center,49.11665776,52.11904695,Alex Carpenter,Left Wing,27.15866777,41.42417069,Cayla Barnes,Defense,64.18828173,29.8048989,Abby Roque,Center,37.66846902,19.96450674,Amanda Kessel,Center,17.06828002,40.57357565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2022,2021,Olympic (Women) - United States,Olympic (Women) - Canada,home,1,165,5 on 4,0,1,Alex Carpenter,Puck Recovery,,0,t,4,67,25.48038461,,,,,,,,,1035,Ashton Bell,Defense,15.52741588,41.54602668,Blayre Turnbull,Center,24.01026578,44.81515984,Marie-Philip Poulin,Center,26.93415295,51.2716007,Ann-Renee Desbiens,Goalie,9.675843935,42.7902188,Jocelyne Larocque,Defense,22.3756578,54.50271366,Alex Carpenter,Left Wing,7.007343797,55.63734755,Abby Roque,Center,18.54282963,28.32090956,Amanda Kessel,Center,10.32862806,47.78753685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
